transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00205,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,300.0,2022-05-20,Friday,Savings,,
md_00206,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.36,2022-05-20,Friday,Savings,,
md_00207,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,33.02,2022-05-19,Thursday,Household Supplies,,
md_00208,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*255RJ,14.99,2022-05-19,Thursday,Household Supplies,,
md_00209,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,4.63,2022-05-19,Thursday,Groceries,,
md_00210,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.32,2022-05-19,Thursday,Savings,,
md_00211,moneydata_user,MONEYDATA,,moneydata,ORIENTAL MART HYDR,26.16,2022-05-18,Wednesday,Groceries,,
md_00212,moneydata_user,MONEYDATA,,moneydata,IZ *WHITE ROSE TRA,10.0,2022-05-18,Wednesday,Clothing,,
md_00213,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,2.87,2022-05-18,Wednesday,Household Supplies,,
md_00214,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,2.65,2022-05-18,Wednesday,Dining Out,,
md_00215,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.85,2022-05-18,Wednesday,Savings,,
md_00216,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*257UG,12.15,2022-05-17,Tuesday,Household Supplies,,
md_00217,moneydata_user,MONEYDATA,,moneydata,VIRGIN MEDIA PYMTS,25.5,2022-05-17,Tuesday,Utilities,,
md_00218,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.98,2022-05-17,Tuesday,Savings,,
md_00219,moneydata_user,MONEYDATA,,moneydata,NATIONAL MERCH,30.0,2022-05-16,Monday,Clothing,,
md_00220,moneydata_user,MONEYDATA,,moneydata,HEAVENLY DESSERTS,11.34,2022-05-16,Monday,Dining Out,,
md_00221,moneydata_user,MONEYDATA,,moneydata,HEAVENLY DESSERTS,4.68,2022-05-16,Monday,Dining Out,,
md_00222,moneydata_user,MONEYDATA,,moneydata,O2,17.95,2022-05-16,Monday,Clothing,,
md_00223,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,3.17,2022-05-16,Monday,Savings,,
md_00224,moneydata_user,MONEYDATA,,moneydata,SAINSBURYS S/MKTS,35.8,2022-05-16,Monday,Groceries,,
